1411168,1411167
1411168,1411180
1411168,1411174
1411181,1411167
1411181,1411180
1411181,1411174
1411170,1411167
1411170,1411180
1411170,1411174
1109053,1109103
1109053,1109035
1108089,1109103
1108089,1109035
1411172,1411168
1411172,1411181
1411172,1411170
1411179,1411168
1411179,1411181
1411179,1411170
1411171,1411174
1411171,1411170
1411171,1109113
1114107,1109053
1109049,1109035
1108090,1109053
1108090,1108089
1411175,1411172
1411175,1411179
1411175,1108090
1411182,1411172
1411182,1411179
1411182,1108090
1411169,1411172
1411169,1411179
1411169,1411171
1114114,1109049
1114114,1114107
1411173,1411171
1411195,1411176
1411177,1411181
1411177,1411168
1411187,1411172
1411187,1411179
1411187,1109053
1411187,1411173
1411190,1411175
1411190,1411182
1411189,1411175
1411189,1411182
1411189,1411169
1411193,1411178
1411195,1411178
1411183,1411177
1411192,1411175
1411192,1411182
1411196,1411187
1411196,1411169
1411196,1114114
1411191,1411190
1411184,1411190
1411194,1411193
1411194,1411195
1411188,1411187
1411188,1109049
1411197,1114107
1411185,1305218
1411185,1411183
1411186,1411185
